epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.34004,1.70364,3.6685,2.04068,0.00631,0.96429,0.12031,0.04869,1.97103,3.57954,2.72737,0.0001875,0.0001875,0.0001875
2,13.5244,1.42467,3.22514,1.79859,0.00724,0.96429,0.42265,0.20165,1.40731,3.40365,2.13126,0.000361925,0.000361925,0.000361925
3,18.1645,1.47471,2.72924,1.79862,0.00488,0.8869,0.49327,0.26592,1.72421,3.33998,2.68593,0.00050995,0.00050995,0.00050995
4,23.1158,1.47988,2.38408,1.77466,0.0044,0.92262,0.33798,0.11376,2.03831,3.34374,2.86471,0.000631575,0.000631575,0.000631575
5,28.5922,1.4072,2.06487,1.71063,0.8178,0.31404,0.66165,0.24707,1.61136,2.87408,2.54703,0.0007268,0.0007268,0.0007268
6,34.4729,1.32375,2.66476,1.99009,0.71252,0.35119,0.49094,0.19805,1.78975,2.92158,2.75382,0.000795625,0.000795625,0.000795625
7,40.2591,1.22217,2.41812,1.82551,0.60837,0.24405,0.40221,0.1814,1.85724,3.15471,3.05855,0.000755,0.000755,0.000755
8,44.5587,1.20427,2.25064,1.83649,0.67128,0.5419,0.68827,0.29074,1.78482,3.10547,2.75886,0.0006725,0.0006725,0.0006725
9,48.9141,1.20101,2.09337,1.82978,0.64841,0.68621,0.7845,0.31766,1.84309,2.25939,2.7938,0.00059,0.00059,0.00059
10,55.6052,1.07365,1.98533,1.67347,0.71654,0.66954,0.7094,0.30738,1.94319,2.31313,2.96292,0.0005075,0.0005075,0.0005075
11,59.9857,0.97016,1.78011,1.57561,0.84528,0.68722,0.79929,0.33355,1.86326,1.97726,3.00511,0.000425,0.000425,0.000425
12,64.201,0.91946,1.65036,1.53878,0.87228,0.84448,0.88144,0.35892,2.0048,1.68244,3.10222,0.0003425,0.0003425,0.0003425
13,69.9687,0.85209,1.56908,1.45027,0.77697,0.88095,0.8562,0.38287,1.95348,1.59988,2.93522,0.00026,0.00026,0.00026
14,74.1517,0.80406,1.48878,1.4002,0.90019,0.8372,0.90534,0.4442,1.81786,1.58389,2.70733,0.0001775,0.0001775,0.0001775
15,78.4326,0.73244,1.47164,1.33268,0.94224,0.85541,0.89606,0.45299,1.79188,1.55635,2.69633,9.5e-05,9.5e-05,9.5e-05
